source,target,Score,value,full_source_name,full_target_name
S&D,Art 13,1.17,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Upload Filters for Online Platforms
S&D,Art 3,3.19,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Text and Data Mining
S&D,Art 4,-0.42,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Education Exception
S&D,Art 5,5.38,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Preservation Exception
S&D,Art 7-9,-5.96,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Access to Out of Commerce Works
S&D,FOP,10.00,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Freedom of Panorama Exception
S&D,UGC,10.00,189,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,User Generated Content Exception
CULT,Art 3,-5.00,40,Culture and Education Committee,Text and Data Mining
CULT,Art 4,-10.00,40,Culture and Education Committee,Education Exception
CULT,Art 5,2.00,40,Culture and Education Committee,Preservation Exception
CULT,Art 7-9,2.00,40,Culture and Education Committee,Access to Out of Commerce Works
CULT,Art 11,-10.00,40,Culture and Education Committee,Publishers Right
CULT,Art 13,-10.00,40,Culture and Education Committee,Upload Filters for Online Platforms
CULT,UGC,5.00,40,Culture and Education Committee,User Generated Content Exception
CULT,FOP,-10.00,40,Culture and Education Committee,Freedom of Panorama Exception
IMCO,Art 3,-4.00,40,Internal Market and Consumer Protection Committee,Text and Data Mining
IMCO,Art 4,6.00,40,Internal Market and Consumer Protection Committee,Education Exception
IMCO,Art 5,10.00,40,Internal Market and Consumer Protection Committee,Preservation Exception
IMCO,Art 7-9,8.00,40,Internal Market and Consumer Protection Committee,Access to Out of Commerce Works
IMCO,Art 11,-7.00,40,Internal Market and Consumer Protection Committee,Publishers Right
IMCO,Art 13,5.00,40,Internal Market and Consumer Protection Committee,Upload Filters for Online Platforms
IMCO,UGC,10.00,40,Internal Market and Consumer Protection Committee,User Generated Content Exception
IMCO,FOP,10.00,40,Internal Market and Consumer Protection Committee,Freedom of Panorama Exception
ITRE,Art 3,0.00,40,"Industry, Research and Energy Committee",Text and Data Mining
ITRE,Art 4,-2.00,40,"Industry, Research and Energy Committee",Education Exception
ITRE,Art 5,5.00,40,"Industry, Research and Energy Committee",Preservation Exception
ITRE,Art 7-9,5.00,40,"Industry, Research and Energy Committee",Access to Out of Commerce Works
ITRE,Art 11,-10.00,40,"Industry, Research and Energy Committee",Publishers Right
ITRE,Art 13,2.00,40,"Industry, Research and Energy Committee",Upload Filters for Online Platforms
ITRE,UGC,-5.00,40,"Industry, Research and Energy Committee",User Generated Content Exception
ITRE,FOP,-5.00,40,"Industry, Research and Energy Committee",Freedom of Panorama Exception
